FIPS104	NAME	MIGCO2	DEPTCO	AREA	PERIMETER	HECTARES	CENTROID_LNG	CENTROID_LAT
CO02	Antioquia	05	05	63351855546.895	1963728.843	6335185.555	832763.2077152618	1256493.2747229508
CO04	Atlántico	08	08	3360765349.961	240936.172	336076.535	901337.760927806	1670931.2577618582
CO34	Bogotá	11	11	1650947779.134	323322.54	165094.778	985166.2877840832	965655.5191125236
CO35	Bolívar	13	13	26141894527.75	1309427.968	2614189.453	952231.201861425	1455438.0533800041
CO36	Boyacá	15	15	23352582463.939	1364539.911	2335258.246	1106037.8539632647	1128228.4959807277
CO37	Caldas	17	17	7558199875.556	603282.457	755819.988	860514.6358890058	1081193.3198602118
CO08	Caquetá	18	18	90180868828.821	1888506.901	9018086.883	1010607.3152572479	577245.5745402564
CO09	Cauca	19	19	29742787301.199	1243388.952	2974278.73	689226.0534094695	756566.5272603582
CO10	Cesar	20	20	22973095679.788	1080343.678	2297309.568	1059560.305335341	1544942.1384505406
CO12	Córdoba	23	23	25059485605.512	814093.372	2505948.561	810371.9468222368	1415567.4304219412
CO33	Cundinamarca	25	25	22800258637.523	1164175.024	2280025.864	995751.3031714582	1022110.4615832889
CO11	Chocó	27	27	46838522629.87	1797897.873	4683852.263	678532.3127076753	1154088.7340816057
CO16	Huila	41	41	20318702519.012	929144.166	2031870.252	826538.1365637993	772262.7873159407
CO17	La Guajira	44	44	21012349660.45	936598.02	2101234.966	1174319.5978989254	1757372.213583332
CO38	Magdalena	47	47	22846394629.859	916642.47	2284639.463	977911.6944729916	1622577.3516084983
CO19	Meta	50	50	85389685783.838	1680541.812	8538968.578	1123924.885966688	858549.8818116235
CO20	Nariño	52	52	33283045970.747	1015680.966	3328304.597	575830.339117896	662773.6834376811
CO21	Norte Santander	54	54	21443330911.239	914288.244	2144333.091	1129204.5769535734	1383364.761555543
CO23	Quindio	63	63	1732025801.293	207948.857	173202.58	821367.2776072223	986833.0059092828
CO24	Risaralda	66	66	4042733125.761	436988.677	404273.313	795870.2376525817	1052158.9943113874
CO26	Santander	68	68	30290221671.891	1036566.662	3029022.167	1062562.726234582	1229620.6602579653
CO27	Sucre	70	70	10823789104.326	688869.681	1082378.91	885436.1938984796	1493755.7110191109
CO28	Tolima	73	73	23421273474.061	853045.779	2342127.347	868336.0207362369	938688.7585369535
CO29	Valle del Cauca	76	76	22146825343.909	995449.434	2214682.534	727380.9990546774	919236.9932845606
CO03	Arauca	81	81	24196379863.35	843446.026	2419637.986	1342556.0820606514	1215354.2867252755
CO32	Casanare	85	85	44714094970.35	1101844.91	4471409.497	1272557.7343707073	1085709.5304947987
CO22	Putumayo	86	86	24707681631.591	1194372.666	2470768.163	801266.8230765207	540019.9053416054
CO01	Amazonas	91	91	110029418235.446	2562641.642	11002941.824	1284508.9573027792	318512.69555595296
CO15	Guaina	94	97	72111494561.286	1882807.19	7211149.456	1588367.8642432073	787590.6332559141
CO14	Guaviare	95	95	55671476686.65	1555059.349	5567147.669	1217554.328058438	701434.2473298963
CO30	Vaupés	97	97	53087838626.98	1666564.449	5308783.863	1390660.6289543041	559009.3107664885
CO31	Vichada	99	99	100055282904.151	1781121.957	10005528.29	1516465.328168806	1009592.7969292547
CO25	San Andrés	88	88	49602521.129	71946.251	4960.252	185523.4471933687	1931186.7415326415
