	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS	AREA	PERIMETER	WCOLGEN02_	WCOLGEN021	DPTO	NOMBRE_DPT	NOMBRE_MPI	NOMBRE_CAB	CLASEMUN	ZONA	OF_REG	REG_ZONAS	HECTARES	CENTROID_LNG	CENTROID_LAT
0	CO17	La Guajira	44	44	317	Uribia	100.0	847	44847	7516765785.59	475636.130236	2	566	44	LA GUAJIRA	URIBIA	URIBIA	CM	ZONA06	DABAR	DABARZONA06	751676.579	1248835.90487084	1818633.1970115693
1	CO17	La Guajira	44	44	315	Manaure	100.0	560	44560	1624662825.92	195961.387498	5	564	44	LA GUAJIRA	MANAURE	MANAURE	CM	ZONA06	DABAR	DABARZONA06	162466.283	1164290.7254735234	1775713.259464137
2	CO17	La Guajira	44	44	314	Maicao	100.0	430	44430	1779933850.42	272174.538806	6	563	44	LA GUAJIRA	MAICAO	MAICAO	CM	ZONA06	DABAR	DABARZONA06	177993.385	1194612.1233150433	1751188.0368139397
3	CO17	La Guajira	44	44	311	Riohacha	100.0	001	44001	3109950428.25	267346.564817	7	559	44	LA GUAJIRA	RIOHACHA	RIOHACHA	CM	ZONA06	DABAR	DABARZONA06	310995.043	1122238.5201410986	1735882.3650818712
4	CO17	La Guajira	44	44	311	Dibulla	100.0	090	44090	1999866414.69	198794.872346	8	1052	44	LA GUAJIRA	DIBULLA	DIBULLA	CM	ZONA06	DABAR	DABARZONA06	199986.641	1069674.3621967603	1718541.4774567515
5	CO38	Magdalena	47	47	319	Santa Marta	100.0	001	47001	2367555421.52	237308.615881	9	485	47	MAGDALENA	SANTA MARTA	DISTRITO TURISTICO,CULTURAL E HISTORICO DE SANTA MARTA	CM	ZONA07	DABAR	DABARZONA07	236755.542	1017949.6740526848	1719959.6952936784
6	CO17	La Guajira	44	44	312	Hatonuevo	100.0	378	44378	238578523.956	103165.578166	10	560	44	LA GUAJIRA	HATONUEVO	HATONUEVO	CM	ZONA06	DABAR	DABARZONA06	23857.852	1148502.3181593183	1719563.061649593
7	CO17	La Guajira	44	44	312	Barrancas	100.0	078	44078	1023485204.73	148403.710693	11	560	44	LA GUAJIRA	BARRANCAS	BARRANCAS	CM	ZONA06	DABAR	DABARZONA06	102348.52	1150422.1763158245	1703349.5478452037
8	CO38	Magdalena	47	47	322	Ciénaga	91.0	189	47189	1010395727.67	188257.615946	12	490	47	MAGDALENA	CIENAGA	CIENAGA	CM	ZONA07	DABAR	DABARZONA07	101039.573	1004153.5566050238	1695662.1879555034
9	CO04	Atlántico	08	08	073	Barranquilla	100.0	001	08001	122393866.4	54760.1703091	13	464	08	ATLANTICO	BARRANQUILLA	DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA	CM	ZONA01	DABAR	DABARZONA01	12239.387	917325.8297490777	1706111.6122951654
