	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS
0	CO17	La Guajira	44	44	317	Uribia	100.0	847	44847
1	CO17	La Guajira	44	44	315	Manaure	100.0	560	44560
2	CO17	La Guajira	44	44	314	Maicao	100.0	430	44430
3	CO17	La Guajira	44	44	311	Riohacha	100.0	001	44001
4	CO17	La Guajira	44	44	311	Dibulla	100.0	090	44090
5	CO38	Magdalena	47	47	319	Santa Marta	100.0	001	47001
6	CO17	La Guajira	44	44	312	Hatonuevo	100.0	378	44378
7	CO17	La Guajira	44	44	312	Barrancas	100.0	078	44078
8	CO38	Magdalena	47	47	322	Ciénaga	91.0	189	47189
9	CO04	Atlántico	08	08	073	Barranquilla	100.0	001	08001
10	CO38	Magdalena	47	47	328	Sitionuevo	100.0	745	47745
11	CO04	Atlántico	08	08	077	Puerto Colombia	100.0	573	08573
12	CO17	La Guajira	44	44	313	Distracción	94.0	098	44098
13	CO17	La Guajira	44	44	313	Fonseca	100.0	279	44279
14	CO17	La Guajira	44	44	316	San Juan del Cesar	100.0	650	44650
15	CO38	Magdalena	47	47	328	Puebloviejo	100.0	570	47570
16	CO04	Atlántico	08	08	081	Tubará	90.0	832	08832
17	CO04	Atlántico	08	08	081	Galapa	100.0	296	08296
18	CO04	Atlántico	08	08	080	Soledad	100.0	758	08758
19	CO04	Atlántico	08	08	076	Malambo	100.0	433	08433
20	CO04	Atlántico	08	08	082	Juan de Acosta	100.0	372	08372
21	CO10	Cesar	20	20	201	Valledupar	100.0	001	20001
22	CO38	Magdalena	47	47	320	Aracataca	100.0	053	47053
23	CO04	Atlántico	08	08	074	Baranoa	100.0	078	08078
24	CO04	Atlántico	08	08	083	Sabanagrande	100.0	634	08634
25	CO04	Atlántico	08	08	083	Polonuevo	100.0	558	08558
26	CO04	Atlántico	08	08	082	Piojo	100.0	549	08549
27	CO04	Atlántico	08	08	082	Usiacurí	92.0	849	08849
28	CO35	Bolívar	13	13	107	Santa Catalina	100.0	673	13673
29	CO04	Atlántico	08	08	079	Santo Tomas	100.0	685	08685
30	CO04	Atlántico	08	08	084	Palmar de Varela	100.0	520	08520
31	CO38	Magdalena	47	47	320	El Retén	92.0	268	47268
32	CO38	Magdalena	47	47	329	Remolino	100.0	605	47605
33	CO04	Atlántico	08	08	078	Sabanalarga	100.0	638	08638
34	CO04	Atlántico	08	08	084	Ponedera	100.0	560	08560
35	CO04	Atlántico	08	08	087	Luruaco	100.0	421	08421
36	CO35	Bolívar	13	13	089	Cartagena	100.0	001	13001
37	CO10	Cesar	20	20	201	Pueblo Bello	100.0	570	20570
38	CO38	Magdalena	47	47	325	Pivijay	100.0	551	47551
39	CO17	La Guajira	44	44	318	Villanueva	100.0	874	44874
40	CO17	La Guajira	44	44	318	El Molino	100.0	110	44110
41	CO38	Magdalena	47	47	324	Fundación	93.0	288	47288
42	CO35	Bolívar	13	13	107	Clemencia	100.0	222	13222
43	CO04	Atlántico	08	08	087	Repelón	91.0	606	08606
44	CO38	Magdalena	47	47	329	Salamina	100.0	675	47675
45	CO04	Atlántico	08	08	085	Candelaria	100.0	141	08141
46	CO17	La Guajira	44	44	318	Urumita	100.0	855	44855
47	CO04	Atlántico	08	08	085	Manatí	90.0	436	08436
48	CO35	Bolívar	13	13	107	Santa Rosa	100.0	683	13683
49	CO35	Bolívar	13	13	108	Villanueva	100.0	873	13873
50	CO38	Magdalena	47	47	329	El Piñón	85.0	258	47258
51	CO04	Atlántico	08	08	075	Campo de la Cruz	100.0	137	08137
52	CO10	Cesar	20	20	210	La Paz	100.0	621	20621
53	CO35	Bolívar	13	13	108	San Estanislao	100.0	647	13647
54	CO10	Cesar	20	20	210	Manaure	100.0	443	20443
55	CO35	Bolívar	13	13	109	Soplaviento	100.0	760	13760
56	CO35	Bolívar	13	13	109	San Cristóbal	95.0	620	13620
57	CO35	Bolívar	13	13	106	Turbaco	100.0	836	13836
58	CO10	Cesar	20	20	208	El Copey	100.0	238	20238
59	CO04	Atlántico	08	08	086	Santa Lucía	94.0	675	08675
60	CO38	Magdalena	47	47	330	Cerro San Antonio	100.0	161	47161
61	CO35	Bolívar	13	13	092	Calamar	100.0	140	13140
62	CO10	Cesar	20	20	210	San Diego	100.0	750	20750
63	CO04	Atlántico	08	08	086	Suán	85.0	770	08770
