MIGCO4_CODE	MIGCO4_NAME	MIGCO4_DEPT
001	Medellín	ANTIOQUIA
002	Abejorral	ANTIOQUIA
002	La Unión	ANTIOQUIA
003	Amagá	ANTIOQUIA
004	Andes	ANTIOQUIA
005	Apartado	ANTIOQUIA
006	Arboletes	ANTIOQUIA
006	San Juan de Uraba	ANTIOQUIA
007	Barbosa	ANTIOQUIA
008	Bello	ANTIOQUIA
009	Betania	ANTIOQUIA
009	Cuidad Bolivar	ANTIOQUIA
010	Caldas	ANTIOQUIA
011	Carepa	ANTIOQUIA
012	Carmen de Viboral	ANTIOQUIA
013	Caucasia	ANTIOQUIA
014	Chigorodo	ANTIOQUIA
015	Concordia	ANTIOQUIA
016	Copacabana	ANTIOQUIA
017	Dabeiba	ANTIOQUIA
017	Mutata	ANTIOQUIA
018	El Bagre	ANTIOQUIA
018	Nechi	ANTIOQUIA
019	Envigado	ANTIOQUIA
020	Fredonia	ANTIOQUIA
021	Frontino	ANTIOQUIA
021	Murindo	ANTIOQUIA
021	Vigia del Fuerte	ANTIOQUIA
022	Girardota	ANTIOQUIA
023	Guarne	ANTIOQUIA
024	Itaguí	ANTIOQUIA
025	Ituango	ANTIOQUIA
026	La Ceja	ANTIOQUIA
027	La Estrella	ANTIOQUIA
028	Marinilla	ANTIOQUIA
029	Necocli	ANTIOQUIA
030	Puerto Berrio	ANTIOQUIA
031	Rionegro	ANTIOQUIA
032	Sabaneta	ANTIOQUIA
033	San Carlos	ANTIOQUIA
034	San Pedro de Uraba	ANTIOQUIA
035	San Vicente	ANTIOQUIA
036	Santa Bárbara	ANTIOQUIA
036	La Pintada	ANTIOQUIA
037	Santa Rosa de Osos	ANTIOQUIA
038	Santuario	ANTIOQUIA
039	Segovia	ANTIOQUIA
040	Sonsón	ANTIOQUIA
041	Turbo	ANTIOQUIA
042	Urrao	ANTIOQUIA
043	Yarumal	ANTIOQUIA
044	Zaragoza	ANTIOQUIA
045	Cáceres	ANTIOQUIA
045	Anorí	ANTIOQUIA
046	Tarazá	ANTIOQUIA
046	Valdivia	ANTIOQUIA
047	Angostura	ANTIOQUIA
047	Campamento	ANTIOQUIA
048	Briceño	ANTIOQUIA
048	San Andres	ANTIOQUIA
048	Toledo	ANTIOQUIA
049	Buriticá	ANTIOQUIA
049	Peque	ANTIOQUIA
049	Sabanalarga	ANTIOQUIA
050	Abriaquí	ANTIOQUIA
050	Cañasgordas	ANTIOQUIA
050	Uramita	ANTIOQUIA
051	Santafe de Antioquia	ANTIOQUIA
051	Giraldo	ANTIOQUIA
051	Caicedo	ANTIOQUIA
052	Belmira	ANTIOQUIA
052	San José de la Montaña	ANTIOQUIA
052	Liborina	ANTIOQUIA
052	Olaya	ANTIOQUIA
